item_id,case_id,sent_idx,sentence,attributed_chunk,grade_A_fully,grade_B_partly,grade_C_topical,grade_D_not,annotator_grade,notes
1,row1174::1174,6,"However, critics argue that the law could lead to discrimination against marginalized communities, including the LGBT community.","And even if you think neither Pence nor Bush nor Cruz will win the nomination, someone has to. In light of that, listen to conservative former Arkansas Gov. Mike Huckabee, a potential 2016 candidate describing  conservatives' discomfort with same-sex marriage: ""It's like asking someone who's Jewish to start serving bacon-wrapped shrimp in their deli."" Or Louisiana Gov. Bobby Jindal: ""I certainly will support Ted Cruz and others that are talking about making ... a constitutional amendment to allow states to continue to define marriage."" Or Wisconsin Gov. Scott Walker, who has a long history of fighting against same-sex marriage and civil unions. And Ben Carson said jail turns people gay, so there's that. Remember: Pence didn't act alone. He only signed a bill that first passed muster with o",,,,,C,
2,row4978::4978,7,"A third reviewer expressed disappointment with the cleanliness and functionality of their room, including a broken mattress and dirty rugs.",The mattress is broken and the rugs are dirty. Not very Belmond. Covid I guess.\n\nI totally believe Denise below.,,,,,A,
3,row6919::6919,0,"Frankland's Crab is a local business located at 1295 Coast Village Rd in Santa Barbara, CA.","{'name': ""Frankland's Crab"", 'address': '1295 Coast Village Rd', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Desserts, Seafood, Food, Salad, Live/Raw Food, Nightlife, Cocktail Bars, Restaurants, Bars, Fish & Chips, Sandwiches', 'hours': {'Monday': '12:0-20:30', 'Tuesday': '12:0-20:30', 'Wednesday': '12:0-20:30', 'Thursday': '12:0-20:30', 'Friday': '12:0-20:30', 'Saturday': '12:0-20:30', 'Sunday': '12:0-20:30'}, 'attributes': {'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, ",,,,,A,
4,row4565::4565,2,"Meanwhile, Sonny discovers Gladys' gambling issue and her role in Sasha's relapse, and Victor's schemes continue to affect those he believes wronged him.","She knows the truth, and she is now a liability for her. The General Hospital preview showed someone barging into Sasha’s room as the doctor tried to restrain her. Speculation is he will try and get rid of her, as he has already planted her addiction relapse back into the minds of the nurses. It’s a dangerous game, and Sasha could be collateral damage. Sonny (Maurice Benard) now knows about Gladys’ gambling issue and what she did to Sasha. Nina (Cynthia Watros) finally told him, so perhaps he can help get her out of Ferncliff.",,,,,B,
5,row7285::7285,1,"It falls under the categories of Restaurants, Food, and Bubble Tea.","{'name': 'Hochaya', 'address': '7060 Hollister Ave, Ste 101', 'city': 'Goleta', 'state': 'CA', 'categories': 'Restaurants, Food, Bubble Tea', 'hours': {'Monday': '12:0-21:0', 'Tuesday': '12:0-21:0', 'Wednesday': '12:0-21:0', 'Thursday': '12:0-17:0', 'Friday': '12:0-21:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}, 'attributes': {'BusinessParking': {'valet': False, 'garage': None, 'street': None, 'lot': None, 'validated': False}, 'RestaurantsReservations': None, 'OutdoorSeating': None, 'WiFi': None, 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': None, 'Music': None, 'Ambience': None}, 'business_stars': 4.5, 'review_info': [{'review_stars': 5.0, 'review_date': '2022-01-08 01:18:53', 'review_text': ""I'm so glad to have a milk tea spot near me taste similar to the ones that I'd ",,,,,A,
6,row12799::12799,0,Charcoal is commonly added to orchid mixes to keep the mix sweet and filter impurities.,Charcoal is added to orchid mix with the intention of keeping the mix sweet and to filter impurities. The particle size of this charcoal is perfect for the majority of orchid mixes and a little goes a long way. This medium charcoal is an ingredient in many orchid mixes.The particle size of this charcoal can very from 1/2 to 1 inch. Charcoal is not finely graded and some smaller and larger pieces may be mixed in.his medium charcoal is an ingredient in many orchid mixes.,,,,,A,
7,row14591::14591,17,"Tap ""Add"" at the bottom of the SMS Scheduler screen.","Hi, I'm a reminder scheduled with Ohdontforget! It's simple. You can send a message now or schedule it for a later date, to one person or many at once.",,,,,D,
8,row13979::13979,3,"Therefore, I cannot provide an answer to the question based on the given passages.",3  Front door: 6 x 8. 4  Back door: 6 x 8. 5  Rear deck: 6 x 8.,,,,,D,
9,row14741::14741,4,"Peel the paper backing off your first tile and press it to the floor at one corner of the intersection, making sure two perpendicular edges of the tile are bordered by the two lines.","Press it to the floor at one corner of the intersection, so two perpendicular edges of the tile are bordered by the two of the lines. Press it firmly to the concrete, using the palms of your hands and all your weight. Peel the paper off the next tile.  If your previous tile was peel and stick you can use Henry Easy Release Adhesive Remover. The HENRY 1-Gallon EasyRelease Adhesive Remover is for indoor use on vinyl flooring.",,,,,B,
10,row14882::14882,10,6.,Below are simple steps to download pictures from your LG G3 phone to your PC. 1) Plug your USB cable and connect it to your PC and turn on your laptop/pc. 2) Connect the other end of USB cable to your LG Phone.3) Open up the File Explorer on your PC and you will see the LG G3 icon on the listed devices on your PC. See Figure below.,,,,,D,
11,row3251::3251,0,"The eastern US will experience warm weather today and tomorrow, with temperatures reaching the lower 80s.","Warm weather Eastern US but big changes coming this weekend, Tropical Storm Philippe to Nova Scotia The warm dry weather pattern that dominates the weather in the Eastern US will come into its own today and Wednesday. Warm fall days usually start with some low clouds and fog and we saw that in a few places this morning. Satellite loops and radar loops are nice and quiet and we will have sunshine all day long. Temperatures will rise to the lower 80s in most places today. There are no weather issues as far as rain is concerned and that will be the case probbaly into the first part of Friday Tonight we will be warm and there will be some patchy low clouds and fog.",,,,,B,
12,row2462::2462,1,"The statue was displayed through an electron microscope before it mysteriously vanished, leaving behind only a smudged fingerprint.","She could stand on a strand of human hair, with room to spare. The microscopic polymer statue by South African sculptor Jonty Hurwitz, entitled Trust, measured just 1/100th of a centimeter and had been called the ""smallest sculpture ever made."" But the world's tiniest woman suddenly disappeared to an unknown location, likely never to be seen again. While she was being photographed through an electron microscope -- the only way to view the minute creation -- Trust vanished, with only a smudged fingerprint left behind by her photographer as a clue. After an hour long search, Hurwitz and the photographer gave in: ""It was horror. I remember saying to him: 'You just destroyed or lost the smallest human form that was ever created in history,' said Hurwitz to CNN Ones to Watch. ""It was gone."" But",,,,,A,
13,row420::420,5,"The search for the three spanned the United States, Canada and Central and South America.","The search for the three spanned the United States, Canada and Central and South America. It ended on Monday, when Scott Kelley and Mary Nunes entered the U.S. Consulate in Costa Rica and requested passports so they could return to the United States. The consulate notified U.S. Marshals, Berry said, and when Kelley and Nunes flew to Atlanta on Wednesday investigators were waiting for them. Mary Nunes, now 19, was interviewed by investigators at the Atlanta airport to ensure her health and safety and then allowed to continue to her final destination, Berry said. Previously, authorities had said her whereabouts were unknown.",,,,,A,
14,row6919::6919,3,The business operates from 12:00 PM to 8:30 PM every day of the week.,"{'name': ""Frankland's Crab"", 'address': '1295 Coast Village Rd', 'city': 'Santa Barbara', 'state': 'CA', 'categories': 'Desserts, Seafood, Food, Salad, Live/Raw Food, Nightlife, Cocktail Bars, Restaurants, Bars, Fish & Chips, Sandwiches', 'hours': {'Monday': '12:0-20:30', 'Tuesday': '12:0-20:30', 'Wednesday': '12:0-20:30', 'Thursday': '12:0-20:30', 'Friday': '12:0-20:30', 'Saturday': '12:0-20:30', 'Sunday': '12:0-20:30'}, 'attributes': {'BusinessParking': {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}, 'RestaurantsReservations': False, 'OutdoorSeating': True, 'WiFi': 'free', 'RestaurantsTakeOut': True, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, ",,,,,A,
15,row9829::9829,10,The service has been criticized for not providing extra beans as requested and for not giving dressings for salads.,"\nBad bad bad bad bad bad !""}, {'review_stars': 1.0, 'review_date': '2018-05-24 05:05:11', 'review_text': 'Normally, I LOVE El Pollo Loco. But this location? No. \n\nPlace looked like it was ready to close, and extremely unwelcoming at 9pm (closes at 11pm) \n\nAsked for extra dressing for both of my two salads, gave me NO dressing on either (not even what it come with normally)\n\nSalsas were not in their normal silver cooler on ice, but were instead laid out on the counter. Little fruit flies were hovering around them. When I got home to try them, the green salsa was RANCID.",,,,,B,
16,row5444::5444,6,"Despite this, the business has an overall rating of 3.5 stars, and the positive reviews greatly outweigh the negative one.","{'name': ""Bill's Bus"", 'address': '6575 Seville St Isla Vista Ca', 'city': 'Isla Vista', 'state': 'CA', 'categories': 'Tours, Party Bus Rentals, Bus Tours, Wine Tours, Wedding Planning, Hotels & Travel, Event Planning & Services, Nightlife, Bars', 'hours': {'Thursday': '21:30-2:0', 'Friday': '21:30-2:0', 'Saturday': '21:30-2:0'}, 'attributes': {'BusinessParking': None, 'RestaurantsReservations': False, 'OutdoorSeating': False, 'WiFi': 'no', 'RestaurantsTakeOut': None, 'RestaurantsGoodForGroups': True, 'Music': None, 'Ambience': {'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}}, 'business_stars': 3.5, 'review_info': [{'review_stars': 1.0, 'review_date': '2019-04-26 06:10:21', 'rev",,,,,B,
17,row3960::3960,0,"Valerie Biden Owens, sister and political strategist to President Joe Biden, has endorsed Meghan Markle for the US presidency, fuelling ongoing speculation about Markle's political ambitions.","Meghan Markle: Not a Chance to Be US President High-Profile Endorsement Meets Skepticism Amid Speculations of a Royal Bid for Presidency Meghan Markle, the Duchess of Sussex, has been endorsed for the US presidency by none other than Valerie Biden Owens, President Joe Biden's sister and political strategist. This announcement has stirred up quite a debate, particularly on Sky News Australia, where the validity of this endorsement was questioned. The former actress, has been speculated to harbor political ambitions for some time now, and this endorsement by a major political figure has added fuel to the fire.",,,,,A,
